Profile,Expected_Return,Volatility,Sharpe_Ratio
Conservative,0.03260539391192356,0.18558914160256612,-0.14760888407329997
Balanced,0.28521939429470833,0.28400755320300203,0.7930049456597611
Aggressive,0.1833548375376779,0.26804583372352087,0.46020054042292535
